RBD;HH_A;HH_UTP;HH_PDIR;HH_DIR;HH_OES;HH_OF;HH_JUTP;HH_IG;HH_OR;HH_DIR_SOST;HH_TP_SOST;HH_SUP_SOST;HH_SUBDIR;HH_PROF_ENC;HH_EDUC_TRAD;HH_TOT
205;1006;88;0;42;121;0;44;0;44;0;0;0;44;0;0;1389
206;1109;0;44;44;88;0;44;0;0;0;0;0;44;0;0;1373
207;445;0;0;44;0;0;44;44;0;0;0;0;0;0;0;577
208;1611;174;44;44;44;0;44;44;44;0;0;0;0;0;0;2049
209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
210;1490;0;0;44;176;0;0;44;44;0;0;0;0;0;0;1798
211;794;44;0;44;0;0;0;44;0;0;0;0;0;0;0;926
214;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;44
217;1886;88;88;44;0;0;44;0;44;0;0;0;44;0;0;2238
218;1056;132;44;44;50;0;0;0;44;0;0;0;44;0;0;1414
219;1883;88;0;44;192;0;44;88;44;0;0;0;0;0;0;2383
220;2044;88;0;44;44;0;44;88;44;0;0;0;44;0;0;2440
222;792;88;0;44;88;0;44;88;44;0;0;0;44;0;0;1232
223;1317;44;0;44;0;0;44;44;44;0;0;0;0;0;0;1537
224;1760;88;0;44;0;0;44;44;44;0;0;0;0;0;0;2024
225;1499;0;132;44;164;0;44;44;0;0;0;0;0;0;0;1927
226;1678;88;44;44;44;0;0;44;44;0;0;0;0;0;0;1986
227;2019;132;0;44;44;0;44;88;44;0;0;0;44;0;0;2459
228;998;88;0;44;202;0;44;0;44;0;0;0;0;0;0;1420
229;1388;88;44;44;44;0;44;0;0;0;0;0;44;0;0;1696
230;1047;0;0;44;88;0;44;44;44;0;0;0;44;0;0;1355
231;1244;44;44;44;0;0;44;44;44;0;0;0;44;0;0;1552
232;1063;0;0;44;220;0;44;0;44;0;0;0;44;0;0;1459
234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
236;201;0;0;44;0;0;44;0;0;0;0;0;0;0;0;289
237;303;44;0;44;0;0;0;0;0;0;0;0;0;0;0;391
238;768;44;0;44;0;0;44;44;0;0;0;0;0;0;0;944
239;1235;88;0;44;88;0;44;44;44;0;0;0;44;0;0;1631
240;1148;88;0;44;44;0;44;44;44;0;0;0;44;0;0;1500
241;320;0;0;44;0;0;0;0;0;0;0;0;0;0;0;364
243;55;0;0;0;0;0;0;0;0;0;0;0;0;44;0;99
244;544;0;0;44;0;0;44;0;0;0;0;0;0;0;0;632
245;140;44;0;44;0;0;0;0;0;0;0;0;0;0;0;228
246;144;0;0;44;0;0;0;0;0;0;0;0;0;0;0;188
248;10;0;0;0;0;0;0;0;0;0;0;0;0;44;0;54
249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
