RBD;Nombre Establecimiento;Región;Comuna;Dependencia;Matrícula Media 2017;Categoría Desempeño 2018
16757;COLEGIO JUAN IGNACIO MOLINA DE LICANTEN;del Maule;LICANTEN;P. Subvencionado;185;MEDIO
16766;GOLDEN EAGLE SCHOOL;de Los Lagos;OSORNO;P. Subvencionado;56;SIN CATEGORIA: BAJA MATRICULA
16770;COLEGIO ALIWE COLLEGE;del Bío-Bío;CORONEL;P. Subvencionado;381;SIN CATEGORIA: FALTA DE INFORMACIÓN
16776;ESCUELA BÁSICA N°2415 LYCÉE ANTOINE DE SAINT EXUPÉRY;Metropolitana de Santiago;COLINA;P. Pagado;373;MEDIO-BAJO
16780;COLEGIO ALTO LAUQUÉN;del Bío-Bío;LOS ANGELES;P. Subvencionado;204;SIN CATEGORIA: BAJA MATRICULA
16787;ESCUELA  BASICA  N°198 GREENFIELD SCHOOL;Metropolitana de Santiago;TALAGANTE;P. Subvencionado;123;SIN CATEGORIA: FALTA DE INFORMACIÓN
16792;COLEGIO HALCONES DEL CARMEN;de Ñuble;EL CARMEN;P. Subvencionado;115;ALTO
16794;ESCUELA NUEVA MILLARAYEN;de La Araucanía;GALVARINO;P. Subvencionado;8;SIN CATEGORIA: BAJA MATRICULA
16795;ESCUELA  BASICA N°231 LA VILLETTE 1;Metropolitana de Santiago;PUENTE ALTO;P. Subvencionado;145;MEDIO-BAJO (NUEVO)
16798;COLEGIO NEW BUCKINGHAM;de Valparaíso;VILLA ALEMANA;P. Subvencionado;194;MEDIO-BAJO
16807;COLEGIO LOS  ALERCES  DE  TALAGANTE;Metropolitana de Santiago;TALAGANTE;P. Subvencionado;44;MEDIO
16815;COLEGIO PATAGONIA DE BUIN;Metropolitana de Santiago;BUIN;P. Pagado;107;MEDIO
16816;ESCUELA  BASICA N°201, REDWOOD COLLEGE;Metropolitana de Santiago;SAN BERNARDO;P. Subvencionado;174;SIN CATEGORIA: FALTA DE INFORMACIÓN
16825;ESCUELA  BASICA  N°200 COLEGIO  INTEGRAL TRABUNCO;Metropolitana de Santiago;PENAFLOR;P. Subvencionado;150;INSUFICIENTE
16829;ESCUELA DE PARVULOS N°2437,  COLEGIO ALEMÁN CHICUREO;Metropolitana de Santiago;COLINA;P. Pagado;222;SIN CATEGORIA: BAJA MATRICULA
16851;INSTITUTO BICENTENARIO JAVIERA CARRERA VERDUGO;de Valparaíso;SAN ANTONIO;Municipal;453;SIN CATEGORIA: FALTA DE INFORMACIÓN
16856;COLEGIO MELIAN;del Maule;MAULE;P. Subvencionado;215;SIN CATEGORIA: FALTA DE INFORMACIÓN
16879;ESCUELA BÁSICA N°2442 `CENTRO EDUCACIONAL ERNESTO YAÑEZ RIVERA`;Metropolitana de Santiago;HUECHURABA;Municipal;312;MEDIO-BAJO
16890;ESCUELA BÁSICA N° 2444 `QHAPAQ KUNA`;Metropolitana de Santiago;QUINTA NORMAL;P. Subvencionado;96;INSUFICIENTE
16895;COLEGIO MARIA AUXILIADORA;de Magallanes;PORVENIR;P. Subvencionado;214;MEDIO-BAJO
16896;SAN GABRIEL ENGLISH COLLEGE;de Valparaíso;VINA DEL MAR;P. Pagado;80;MEDIO-BAJO
16910;ESCUELA BASICA PEUMA MEW;de La Araucanía;VILLARRICA;P. Subvencionado;24;SIN CATEGORIA: BAJA MATRICULA
16919;COLEGIO CUMBRES DE COIHUECO;de Ñuble;COIHUECO;P. Subvencionado;173;MEDIO-BAJO (NUEVO)
16923;THE BRISTISH SCHOOL PATAGONIA;de Los Lagos;PUERTO MONTT;P. Subvencionado;339;MEDIO
16941;ESCUELA YAIMA;de La Araucanía;GALVARINO;P. Subvencionado;45;SIN CATEGORIA: BAJA MATRICULA
16945;COLEGIO NUEVO HORIZONTE;de Valparaíso;QUILLOTA;P. Subvencionado;217;INSUFICIENTE
