RBD;GRADO;CD2018
2091;Media;MEDIO-BAJO
2099;Media;MEDIO
2102;Media;MEDIO
2103;Media;ALTO
2104;Media;MEDIO
2105;Media;ALTO
2109;Media;MEDIO
2110;Media;ALTO
2111;Media;MEDIO-BAJO
2123;Media;MEDIO-BAJO
2124;Media;MEDIO-BAJO
2134;Media;MEDIO-BAJO
2150;Media;ALTO
2153;Media;MEDIO-BAJO
2163;Media;MEDIO-BAJO
2164;Media;MEDIO-BAJO
2165;Media;MEDIO
2166;Media;MEDIO
2167;Media;INSUFICIENTE
2170;Media;MEDIO
2171;Media;MEDIO
2173;Media;MEDIO-BAJO
2183;Media;MEDIO
2185;Media;INSUFICIENTE
2194;Media;ALTO
2198;Media;INSUFICIENTE
2200;Media;ALTO
2205;Media;MEDIO-BAJO
2206;Media;MEDIO-BAJO
2217;Media;MEDIO
2218;Media;MEDIO
2219;Media;MEDIO-BAJO
2222;Media;MEDIO-BAJO
2224;Media;MEDIO-BAJO
2233;Media;SIN CATEGORIA: BAJA MATRICULA
2244;Media;MEDIO-BAJO
2259;Media;MEDIO
2260;Media;ALTO
2278;Media;MEDIO
2280;Media;MEDIO
2283;Media;MEDIO-BAJO
2285;Media;SIN CATEGORIA: BAJA MATRICULA
2308;Media;MEDIO
2309;Media;MEDIO
2319;Media;MEDIO-BAJO
2326;Media;MEDIO
2329;Media;MEDIO
2339;Media;MEDIO-BAJO (NUEVO)
2355;Media;ALTO
2356;Media;ALTO
2375;Media;MEDIO-BAJO
2378;Media;MEDIO-BAJO
2401;Media;MEDIO
2406;Media;MEDIO
2411;Media;MEDIO-BAJO
2422;Media;MEDIO
2442;Media;MEDIO
2443;Media;MEDIO
2444;Media;MEDIO
2447;Media;MEDIO-BAJO
2448;Media;MEDIO-BAJO
2453;Media;MEDIO
2454;Media;ALTO
2455;Media;ALTO
2482;Media;MEDIO
2485;Media;MEDIO
2486;Media;MEDIO
2514;Media;MEDIO
2518;Media;MEDIO
2530;Media;MEDIO-BAJO
2551;Media;MEDIO-BAJO
2552;Media;MEDIO
2579;Media;ALTO
2580;Media;ALTO
2583;Media;MEDIO
2612;Media;MEDIO-BAJO
2625;Media;MEDIO
2635;Media;MEDIO
2656;Media;ALTO
2657;Media;MEDIO
2681;Media;MEDIO
2701;Media;MEDIO
2732;Media;MEDIO-BAJO
2733;Media;MEDIO-BAJO
2737;Media;MEDIO
2782;Media;ALTO
2785;Media;MEDIO
2786;Media;MEDIO
2787;Media;ALTO
2789;Media;ALTO
2790;Media;MEDIO
2793;Media;MEDIO-BAJO
2794;Media;MEDIO-BAJO
2833;Media;MEDIO
2835;Media;MEDIO-BAJO
2836;Media;MEDIO
2863;Media;MEDIO
2864;Media;SIN CATEGORIA: BAJA MATRICULA
2865;Media;MEDIO
2882;Media;MEDIO
2896;Media;MEDIO
2908;Media;SIN CATEGORIA: BAJA MATRICULA
2909;Media;MEDIO-BAJO
2910;Media;MEDIO
2930;Media;MEDIO-BAJO
2934;Media;MEDIO-BAJO
2935;Media;MEDIO
2937;Media;MEDIO-BAJO
2938;Media;MEDIO-BAJO
2939;Media;MEDIO-BAJO
2940;Media;MEDIO-BAJO
2943;Media;MEDIO-BAJO
2973;Media;MEDIO
2974;Media;INSUFICIENTE
2979;Media;MEDIO
2991;Media;ALTO
2992;Media;MEDIO
2995;Media;ALTO
3003;Media;MEDIO-BAJO
3005;Media;ALTO
3006;Media;MEDIO
3010;Media;MEDIO-BAJO
3012;Media;MEDIO
3013;Media;MEDIO-BAJO
3014;Media;ALTO
3015;Media;ALTO
3016;Media;MEDIO-BAJO
3033;Media;MEDIO
3055;Media;MEDIO-BAJO
3059;Media;SIN CATEGORIA: BAJA MATRICULA
3108;Media;MEDIO
3126;Media;MEDIO
3127;Media;MEDIO
3128;Media;MEDIO
3138;Media;MEDIO-BAJO
3163;Media;MEDIO
3165;Media;MEDIO-BAJO
3172;Media;MEDIO
3173;Media;MEDIO
3202;Media;ALTO
3204;Media;ALTO
3205;Media;MEDIO
3247;Media;ALTO
3248;Media;MEDIO
3252;Media;MEDIO-BAJO
3290;Media;ALTO
3296;Media;MEDIO
